"Freq [GHz]","mag(S(2,1)) []"
0.001,0.999951635742823
0.101,0.887429523317695
0.201,0.851695457886853
0.301,0.812029515424021
0.401,0.765299552419378
0.501,0.714650863478799
0.601,0.663354244765073
0.701,0.613903825345723
0.801,0.567911564018117
0.901,0.526251274050746
1.001,0.489266370762929
1.101,0.456924879854532
1.201,0.429013945204898
1.301,0.40518030039275
1.401,0.385022593478297
1.501,0.368126843754858
1.601,0.354082971291734
1.701,0.342489409331104
1.801,0.332950984325105
1.901,0.325074079554261
2.001,0.31846251592065
2.101,0.312717289346004
2.201,0.30744281994403
2.301,0.302261136662951
2.401,0.296833096367697
2.501,0.29088264224212
2.601,0.284217518901188
2.701,0.276739557547345
2.801,0.268440601311335
2.901,0.259385334771287
