"Freq [GHz]","mag(S(2,1)) []"
0.001,0.837992553609147
0.101,0.821089807436194
0.201,0.776531268442281
0.301,0.715545900818675
0.401,0.649324908489658
0.501,0.585366260392508
0.601,0.527428902635568
0.701,0.476795986919144
0.801,0.433444103624507
0.901,0.39677923062433
1.001,0.366024797293147
1.101,0.34040845768282
1.201,0.319216534147609
1.301,0.301827151369163
1.401,0.287702126145887
1.501,0.276378306612277
1.601,0.267453558218344
1.701,0.260571125837359
1.801,0.255404323842175
1.901,0.251642897630122
2.001,0.24898244481212
2.101,0.247118593226663
2.201,0.245747765595314
2.301,0.244575782324708
2.401,0.243333826182673
2.501,0.241798517285147
2.601,0.239810082644168
2.701,0.23728165166041
2.801,0.234194925454586
2.901,0.230582368752584
