"Freq [Hz]","re(Z(1,1)) []"
10000,-0.00107049121774215
10110909.0909091,6.38870507551372
20211818.1818182,6.7796679009131
30312727.2727273,6.52303718285065
40413636.3636364,6.41298822639443
50514545.4545455,6.36260056366015
60615454.5454545,6.33926331889174
70716363.6363636,6.33020004179124
80817272.7272727,6.32972174443357
90918181.8181818,6.33500934528969
101019090.909091,6.34344175348276
111120000,6.34363309641892
121220909.090909,6.34375180698167
131321818.181818,6.3438281540439
141422727.272727,6.34387874838668
151523636.363636,6.34391312433047
161624545.454545,6.34393698290651
171725454.545455,6.34395384510921
181826363.636364,6.34396593626456
191927272.727273,6.34397472532559
202028181.818182,6.34398117703481
212129090.909091,6.34398595930182
222230000,6.34398952644094
232330909.090909,6.34399220278159
242431818.181818,6.3439942199245
252532727.272727,6.34399573593491
262633636.363636,6.34399688364162
272734545.454545,6.3439977456967
282835454.545455,6.34399839242299
292936363.636364,6.34399887458366
303037272.727273,6.34399922764234
313138181.818182,6.34399948217295
323239090.909091,6.34399966260376
333340000,6.34399978411356
343440909.090909,6.3439998599279
353541818.181818,6.3439999016213
363642727.272727,6.34399991650522
373743636.363636,6.34399991285034
383844545.454545,6.34399989403566
393945454.545455,6.34399986524805
404046363.636364,6.34399982836049
414147272.727273,6.34399978739323
424248181.818182,6.34399974318517
434349090.909091,6.34399969866328
444450000,6.34399965262123
454550909.090909,6.34399960844297
464651818.181818,6.34399956637104
474752727.272727,6.34399952629435
484853636.363636,6.3439994889678
494954545.454546,6.34399945451556
505055454.545455,6.34399942382012
515156363.636364,6.34399939735641
525257272.727273,6.34399937408831
535358181.818182,6.34399935476309
545459090.909091,6.34399933941254
555560000,6.34399932817721
565660909.090909,6.34399931993594
575761818.181818,6.34399931659877
585862727.272727,6.34399931708658
595963636.363636,6.34399932086431
606064545.454545,6.34399932829863
616165454.545455,6.34399933966005
626266363.636364,6.34399935527447
636367272.727273,6.34399937364495
646468181.818182,6.34399939561121
656569090.909091,6.34399942124261
666670000,6.34399944995023
676770909.090909,6.34399948211735
686871818.181818,6.34399951770052
696972727.272727,6.34399955617813
707073636.363636,6.34399959791487
717174545.454545,6.34399964225463
727275454.545455,6.34399969021299
737376363.636364,6.34399974047677
747477272.727273,6.3439997937737
757578181.818182,6.34399984978307
767679090.909091,6.34399990855371
777780000,6.34399997045684
787880909.090909,6.3440000343178
797981818.181818,6.34400010117245
808082727.272727,6.34400017010735
818183636.363636,6.34400024188583
828284545.454546,6.34400031583367
838385454.545455,6.34400039231461
848486363.636364,6.3440004710337
858587272.727273,6.34400055221283
868688181.818182,6.34400063560057
878789090.909091,6.34400072115568
888890000,6.3440008091606
898990909.090909,6.34400089904899
909091818.181818,6.34400099119827
919192727.272727,6.34400108535747
929293636.363636,6.34400118190278
939394545.454545,6.34400128005639
949495454.545455,6.34400138064545
959596363.636364,6.34400148305971
969697272.727273,6.34400158752544
979798181.818182,6.34400169378224
989899090.909091,6.34400180212465
1000000000,6.34400191208394
