"Freq [GHz]","dB(S(1,1)) []"
0.1,-35.2742039877711
0.2,-29.1233858530372
0.3,-25.3905938411307
0.4,-22.6100492411045
0.5,-20.332994779462
0.6,-18.3712536263468
0.7,-16.6370963938585
0.8,-15.0914289775435
0.9,-13.7220677163517
1,-12.5317890152872
1.1,-11.481116109652
1.2,-10.5698520911755
1.3,-9.79046806916711
1.4,-9.1346041532716
1.5,-8.59320143738696
1.6,-8.15692356764111
1.7,-7.81653229413594
1.8,-7.56299898191287
1.9,-7.38727431600849
2,-7.27976230798418
2.1,-7.22963094347964
2.2,-7.22413604296698
2.3,-7.24814258078347
2.4,-7.28401010166799
2.5,-7.31197859834184
2.6,-7.31115209381436
2.7,-7.26111501494747
2.8,-7.14410810835549
2.9,-6.94754014788676
3,-6.66648551588379
