"Freq [GHz]","dB(S(1,1)) []"
0.1,-34.4197970930382
0.2,-28.2921942865961
0.3,-24.5990059083135
0.4,-21.8760303673009
0.5,-19.6743509346689
0.6,-17.8028648544976
0.7,-16.1673176764061
0.8,-14.7185139143327
0.9,-13.4319743914015
1,-12.2990973094963
1.1,-11.3018950747504
1.2,-10.4355351470815
1.3,-9.6927263716851
1.4,-9.06605419601892
1.5,-8.54777909154216
1.6,-8.129925907698
1.7,-7.80442211562226
1.8,-7.5631086050743
1.9,-7.39753125759303
2,-7.2985091888725
2.1,-7.25555203833008
2.2,-7.25625572173352
2.3,-7.28584049787673
2.4,-7.32700726791582
2.5,-7.36027840802342
2.6,-7.36495324385336
2.7,-7.3207311356866
2.8,-7.20992509109415
2.9,-7.02002953968224
3,-6.74630127560043
