"Freq [GHz]","dB(S(1,1)) []"
0.1,-35.5650323925858
0.2,-29.3711905729852
0.3,-25.575885252806
0.4,-22.7274998351807
0.5,-20.3918163989507
0.6,-18.3920188702301
0.7,-16.6443180830244
0.8,-15.1029772331996
0.9,-13.738447172943
1,-12.530028904098
1.1,-11.4766789618835
1.2,-10.5633996419518
1.3,-9.78257927032885
1.4,-9.12573292840995
1.5,-8.5836670020006
1.6,-8.14692674331247
1.7,-7.80618602883662
1.8,-7.55236077737081
1.9,-7.37637165152901
2,-7.26860730938225
2.1,-7.21822543090953
2.2,-7.21247127728994
2.3,-7.2361987855476
2.4,-7.27175923295901
2.5,-7.29939081738177
2.6,-7.29820356329685
2.7,-7.24779352991388
2.8,-7.13041416650303
2.9,-6.93348289936929
3,-6.65207222143408
