"Freq [GHz]","mag(S(2,1)) []"
0.1,0.99957425411714
0.2,0.998886999164573
0.3,0.997723524699189
0.4,0.99604732845488
0.5,0.993792298186181
0.6,0.990855920706672
0.7,0.987100537041703
0.8,0.98236724050723
0.9,0.97650463884789
1,0.969409931416497
1.1,0.961421986932316
1.2,0.952686284604084
1.3,0.943548752552552
1.4,0.934409986814938
1.5,0.925684599067067
1.6,0.917759718548939
1.7,0.91095801427187
1.8,0.905508506272859
1.9,0.901526436209299
2,0.899002275045654
2.1,0.897799700068034
2.2,0.897662692806762
2.3,0.898232072221894
2.4,0.899070990187549
2.5,0.899696697664061
2.6,0.899612557004591
2.7,0.898331287628753
2.8,0.895380145769567
2.9,0.890283328448261
3,0.882526850190453
