"Freq [GHz]","mag(S(2,1)) []"
0.1,0.99981430877222
0.2,0.99936246289893
0.3,0.998521357042286
0.4,0.997173686985608
0.5,0.99518104055789
0.6,0.992401912777022
0.7,0.988705652323871
0.8,0.983978642032995
0.9,0.978121248624285
1,0.971037167896244
1.1,0.963031618289661
1.2,0.954264860384821
1.3,0.945087338960344
1.4,0.935903936061008
1.5,0.927132840785135
1.6,0.919163915486231
1.7,0.912321845295598
1.8,0.906837203383724
1.9,0.902826563843706
2,0.900281634976113
2.1,0.899067189148417
2.2,0.898927940010091
2.3,0.899504742065549
2.4,0.900359765127124
2.5,0.901008127155824
2.6,0.900950132552588
2.7,0.899695177865927
2.8,0.896767903075234
2.9,0.891691513728674
3,0.883952979946862
