"Freq [MHz]","im(Y(1,1)) []"
0.01,9.04022752361612E-007
1.02,1.57919503294321E-007
2.03,3.01122043240046E-007
3.04,4.47252144275268E-007
4.05,5.9412095940207E-007
5.06,7.41287728100908E-007
6.07,8.88605456217273E-007
7.08,1.03601139998905E-006
8.09,1.18347449706778E-006
9.1,1.33097780889298E-006
10.11,1.47851149080537E-006
11.12,1.62606959652839E-006
12.13,1.77364848219817E-006
13.14,1.92124594930539E-006
14.15,2.06886075732226E-006
15.16,2.21649233348626E-006
16.17,2.36414059334149E-006
17.18,2.51180582611807E-006
18.19,2.65948861926079E-006
19.2,2.80718980698086E-006
20.21,2.95491043342979E-006
21.22,3.10265172427239E-006
22.23,3.25041506213285E-006
23.24,3.39820196225994E-006
24.25,3.54601404502726E-006
25.26,3.69385300173865E-006
26.27,3.84172054966724E-006
27.28,3.98961837132572E-006
28.29,4.13754803157266E-006
29.3,4.28551086417422E-006
30.31,4.4335078166901E-006
31.32,4.58153923880776E-006
32.33,4.72960459407877E-006
33.34,4.87770206797269E-006
34.35,5.02582803553584E-006
35.36,5.17397633874538E-006
36.37,5.32213730559426E-006
37.38,5.4702964182456E-006
38.39,5.61843250395303E-006
39.4,5.76651527688142E-006
40.41,5.9145019982282E-006
41.42,6.06233294299526E-006
42.43,6.20992526397053E-006
43.44,6.35716473471724E-006
44.45,6.50389476370679E-006
45.46,6.64990208751186E-006
46.47,6.79489889315981E-006
47.48,6.93850232424191E-006
48.49,7.08021563804405E-006
49.5,7.21942345704286E-006
50.51,7.3554321642619E-006
51.52,7.48762459947986E-006
52.53,7.61586140461638E-006
53.54,7.74131110705339E-006
54.55,7.86772322489868E-006
55.56,8.00231000956996E-006
56.57,8.15396619237975E-006
57.58,8.32749854026956E-006
58.59,8.51864938065974E-006
59.6,8.71673491289212E-006
60.61,8.91185990744876E-006
61.62,9.09875554309376E-006
62.63,9.27613358928185E-006
63.64,9.44475094290785E-006
64.65,9.60604361995328E-006
65.66,9.76149075691019E-006
66.67,9.91239642202683E-006
67.68,1.00598466466329E-005
68.69,1.02047243965189E-005
69.7,1.03477378163586E-005
70.71,1.04894480862352E-005
71.72,1.06302940212649E-005
72.73,1.07706134499869E-005
73.74,1.09106618052485E-005
74.75,1.10506282151269E-005
75.76,1.11906492554429E-005
76.77,1.13308204999451E-005
77.78,1.14712060368044E-005
78.79,1.16118461633435E-005
79.8,1.1752763499691E-005
80.81,1.18939677693851E-005
81.82,1.20354594837664E-005
82.83,1.21772327437816E-005
83.84,1.23192773436501E-005
84.85,1.24615803304631E-005
85.86,1.26041271451393E-005
86.87,1.27469024447621E-005
87.88,1.28898906848612E-005
88.89,1.30330765224654E-005
89.9,1.31764450865805E-005
90.91,1.33199821515645E-005
91.92,1.34636742401069E-005
92.93,1.36075086758289E-005
93.94,1.37514736004106E-005
94.95,1.38955579662147E-005
95.96,1.40397515125043E-005
96.97,1.41840447311279E-005
97.98,1.43284288258943E-005
98.99,1.44728956686839E-005
100,1.46174377544037E-005
