"Freq [MHz]","permittivity []"
0.01,-1.72012917666568E+015 - 1.73569203621852E+016i
1.02,-104632105832345 - 23324209130064.2i
2.03,-53589172345483.5 - 21738419493386.5i
3.04,-36900885513470.3 - 21422586128763.5i
4.05,-28858361565956.9 - 21289780754241.3i
5.06,-24275958402280 - 21205203747508.7i
6.07,-21417670688119.9 - 21136085640860.1i
7.08,-19536848074056.5 - 21071806184255i
8.09,-18258822015364.6 - 21008526900128.4i
9.1,-17374664527424.8 - 20944966967763.7i
10.11,-16758568149958.3 - 20880944220536.6i
11.12,-16330244839774.7 - 20816779661209.5i
12.13,-16036100217258.8 - 20753020334622.3i
13.14,-15839078071946.4 - 20690296285138.2i
14.15,-15712841220043.3 - 20629241004887.7i
15.16,-15638265537695.6 - 20570445389474.7i
16.17,-15601235648529.8 - 20514431206257.7i
17.18,-15591207007994.4 - 20461636888805.3i
18.19,-15600237263246.4 - 20412411576164.2i
19.2,-15622315046646.4 - 20367014833334.9i
20.21,-15652883191050.7 - 20325620294804.5i
21.22,-15688492624148.9 - 20288321945381.5i
22.23,-15726546351775.6 - 20255142062329.4i
23.24,-15765106996835.2 - 20226040068347.7i
24.25,-15802750122994.8 - 20200921721288.9i
25.26,-15838451169584 - 20179648210263.9i
26.27,-15871497478325.2 - 20162044847486.3i
27.28,-15901419332075.2 - 20147909142450.7i
28.29,-15927935585078.4 - 20137018125681.1i
29.3,-15950910616310.5 - 20129134851594.6i
30.31,-15970320152372.5 - 20124014059424.7i
31.32,-15986224091460.6 - 20121407006834.3i
32.33,-15998744888799.4 - 20121065517012.1i
33.34,-16008050382354.4 - 20122745296490.4i
34.35,-16014340177322.9 - 20126208591700.3i
35.36,-16017834890965 - 20131226256475.3i
36.37,-16018767701098.2 - 20137579304001.8i
37.38,-16017377751649.7 - 20145060014143.3i
38.39,-16013905055771.8 - 20153472663418.7i
39.4,-16008586605940.2 - 20162633939358.2i
40.41,-16001653455591.4 - 20172373095155.3i
41.42,-15993328581286.5 - 20182531894156.7i
42.43,-15983825369910.7 - 20192964387812.6i
43.44,-15973346604695.1 - 20203536564612.9i
44.45,-15962083847211.3 - 20214125902123.8i
45.46,-15950217131887.9 - 20224620849314.2i
46.47,-15937914905215 - 20234920261661.2i
47.48,-15925334154797.6 - 20244932807803i
48.49,-15912620683824.6 - 20254576362868.6i
49.5,-15899909495496.7 - 20263777400711.1i
50.51,-15887325258703.3 - 20272470394650.5i
51.52,-15874982832508.3 - 20280597234457i
52.53,-15862987831568 - 20288106665112.9i
53.54,-15851437219041.5 - 20294953751899.3i
54.55,-15840419916262.4 - 20301099374959.2i
55.56,-15830017422092 - 20306509755554i
56.57,-15820304436473.4 - 20311156015918.6i
57.58,-15811349485372 - 20315013773659.9i
58.59,-15803215545666 - 20318062771951.4i
59.6,-15795960670556.8 - 20320286546422.1i
60.61,-15789638617274.8 - 20321672129673.8i
61.62,-15784299480725.5 - 20322209795353.4i
62.63,-15779990337894.2 - 20321892843486.1i
63.64,-15776755909928.9 - 20320717430540.5i
64.65,-15774639250539.3 - 20318682448435.4i
65.66,-15773682471432.7 - 20315789458877.7i
66.67,-15773927518609.1 - 20312042691762i
67.68,-15775417016196.9 - 20307449119928.1i
68.69,-15778195198885.7 - 20302018627269i
69.7,-15782308959071.7 - 20295764293664.1i
70.71,-15787809041244.1 - 20288702829533.2i
71.72,-15794751424405.7 - 20280855205573.1i
72.73,-15803198943590.7 - 20272247541537i
73.74,-15813223214506.5 - 20262912344457.2i
74.75,-15824906941164.9 - 20252890224638.7i
75.76,-15838346705742.7 - 20242232274105.1i
76.77,-15853656361492.1 - 20231003375524i
77.78,-15870971172561.1 - 20219286834520.5i
78.79,-15890452861716.5 - 20207190919003.4i
79.8,-15912295726859.5 - 20194858180672.2i
80.81,-15936733938197 - 20182478887727.3i
81.82,-15964049967439.3 - 20170310607123.6i
82.83,-15994583689130 - 20158707090946.9i
83.84,-16028740739861.3 - 20148161374553.9i
84.85,-16066996595783.2 - 20139370712292.8i
85.86,-16109888195319.9 - 20133335032127.4i
86.87,-16157974956431.9 - 20131506076011.9i
87.88,-16211729836703.5 - 20136009840405.9i
88.89,-16271277222129.3 - 20149963040322.9i
89.9,-16335809288756 - 20177869069283.4i
90.91,-16402372970369.2 - 20225931796627.5i
91.92,-16463604255654.1 - 20301673006489.3i
92.93,-16504394629690 - 20411198801156.3i
93.94,-16499953639009.7 - 20551320076566.1i
94.95,-16423490171087.3 - 20696902394010.9i
95.96,-16271011358535.4 - 20798681288343.3i
96.97,-16081620678618.5 - 20813666238181.1i
97.98,-15913293891415.8 - 20742807474973.9i
98.99,-15799043251916.4 - 20622469403017.8i
100,-15738996913403.6 - 20489045767932i
