"Freq [GHz]","mag(S(2,1)) [] - rhe='11.5mm'"
0.001,1.04686658839917
0.002,1.04654065151915
0.003,1.04599918511753
0.004,1.04524478609251
0.005,1.0442810392018
0.006,1.04311247789201
0.007,1.04174453107958
0.008,1.04018345946559
0.009,1.03843628362316
0.01,1.03651070552288
0.011,1.03441502741302
0.012,1.03215805490425
0.013,1.02974902026736
0.014,1.02719748909134
0.015,1.02451327257432
0.016,1.02170634228842
0.017,1.01878674856712
0.018,1.01576454349265
0.019,1.01264970928022
0.02,1.00945209267383
0.021,1.00618134578956
0.022,1.00284687367325
0.023,0.999457788683083
0.024,0.996022871667716
0.025,0.992550539788842
0.026,0.989048820734396
0.027,0.985525332985492
0.028,0.981987271735809
0.029,0.978441400015615
0.03,0.974894044542335
0.031,0.971351095803919
0.032,0.967818011878119
0.033,0.96429982549833
0.034,0.960801153892825
0.035,0.957326210947263
0.036,0.953878821268407
0.037,0.950462435758687
0.038,0.947080148345087
0.039,0.943734713540764
0.04,0.940428564552772
0.041,0.937163831683609
0.042,0.933942360807274
0.043,0.930765731731792
0.044,0.927635276289331
0.045,0.92455209602194
0.046,0.921517079355426
0.047,0.918530918175972
0.048,0.915594123743781
0.049,0.912707041895399
0.05,0.909869867501518
0.051,0.907082658160181
0.052,0.904345347116477
0.053,0.901657755409268
0.054,0.899019603253336
0.055,0.896430520671773
0.056,0.893890057398631
0.057,0.891397692075902
0.058,0.888952840771987
0.059,0.886554864851108
0.06,0.884203078224618
0.061,0.881896754016136
0.062,0.879635130672826
0.063,0.877417417555152
0.064,0.875242800037095
0.065,0.873110444148153
0.066,0.871019500787646
0.067,0.868969109540751
0.068,0.866958402124607
0.069,0.864986505491519
0.07,0.863052544615047
0.071,0.861155644983344
0.072,0.859294934822853
0.073,0.857469547074011
0.074,0.855678621139384
0.075,0.853921304423268
0.076,0.852196753680584
0.077,0.850504136191662
0.078,0.84884263077833
0.079,0.847211428675632
0.08,0.845609734272434
0.081,0.844036765733164
0.082,0.842491755512015
0.083,0.840973950770027
0.084,0.839482613704651
0.085,0.838017021800606
0.086,0.836576468010121
0.087,0.835160260869982
0.088,0.833767724562163
0.089,0.832398198924246
0.09,0.831051039415291
0.091,0.829725617042318
0.092,0.828421318252107
0.093,0.827137544792575
0.094,0.825873713547628
0.095,0.824629256349003
0.096,0.823403619768286
0.097,0.822196264891992
0.098,0.821006667082317
0.099,0.819834315725902
0.1,0.818678713972736
0.101,0.81753932569607
0.102,0.816415730042621
0.103,0.815307469751468
0.104,0.81421410022134
0.105,0.813135189225181
0.106,0.812070316623637
0.107,0.811019074078422
0.108,0.809981064766415
0.109,0.808955903095223
0.11,0.807943214420882
0.111,0.806942634768249
0.112,0.805953810554596
0.113,0.804976398316817
0.114,0.804010064442638
0.115,0.80305448490612
0.116,0.80210934500773
0.117,0.801174339119197
0.118,0.800249170433319
0.119,0.799333550718881
0.12,0.79842720008078
0.121,0.797529846725439
0.122,0.796641226731567
0.123,0.795761083826309
0.124,0.794889169166774
0.125,0.794025241126958
0.126,0.793169065090034
0.127,0.792320413245969
0.128,0.791479064394425
0.129,0.7906448037529
0.13,0.789817422770014
0.131,0.788996718943895
0.132,0.788182495645573
0.133,0.787374561947291
0.134,0.786572732455652
0.135,0.785776827149506
0.136,0.78498667122247
0.137,0.784202094930002
0.138,0.7834229334409
0.139,0.782649026693149
0.14,0.781880219253999
0.141,0.781116360184171
0.142,0.78035730290609
0.143,0.779602905076042
0.144,0.778853028460148
0.145,0.77810753881406
0.146,0.777366305766265
0.147,0.776629202704918
0.148,0.775896106668082
0.149,0.775166898237295
0.15,0.774441461434365
0.151,0.773719683621291
0.152,0.773001455403235
0.153,0.772286670534435
0.154,0.771575225826992
0.155,0.770867021062427
0.156,0.770161958905938
0.157,0.769459944823265
0.158,0.768760887000091
0.159,0.7680646962639
0.16,0.767371286008207
0.161,0.766680572119101
0.162,0.765992472904025
0.163,0.765306909022707
0.164,0.764623803420206
0.165,0.763943081261976
0.166,0.763264669870904
0.167,0.76258849866625
0.168,0.761914499104438
0.169,0.761242604621629
0.17,0.760572750578027
0.171,0.75990487420386
0.172,0.759238914546985
0.173,0.758574812422065
